datetime,open,high,low,close,volume
2026-07-02T00:00:00+00:00,8725.31,8826.43,8711.81,8782.91,15521
2026-07-02T12:00:00+00:00,8782.91,8849.76,8725.43,8842.24,18131
2026-07-03T00:00:00+00:00,8842.24,8859.76,8794.34,8827.35,5963
2026-07-03T12:00:00+00:00,8827.35,8831.35,8804.34,8807.85,558
2026-07-05T12:00:00+00:00,8807.85,8863.78,8807.85,8824.76,5334
2026-07-06T00:00:00+00:00,8824.76,8866.88,8814.36,8824.36,6819
2026-07-06T12:00:00+00:00,8824.36,8848.02,8790.01,8805.02,7043
2026-07-07T00:00:00+00:00,8805.02,8839.62,8779.6,8791.1,9481
2026-07-07T12:00:00+00:00,8791.1,8802.11,8670.81,8738.8,14819
2026-07-08T00:00:00+00:00,8738.8,8782.9,8629.39,8679.9,25450
2026-07-08T12:00:00+00:00,8679.9,8747.82,8664.9,8733.82,13841
2026-07-09T00:00:00+00:00,8733.82,8774.92,8712.4,8771.9,12093
2026-07-09T12:00:00+00:00,8771.9,8823.73,8747.71,8811.21,5587
2026-07-10T00:00:00+00:00,8811.21,8828.83,8782.81,8810.32,9918
2026-07-10T12:00:00+00:00,8810.32,8837.33,8807.32,8830.83,2919
2026-07-12T12:00:00+00:00,8830.83,8830.83,8771.52,8792.03,6144
2026-07-13T00:00:00+00:00,8792.03,8860.28,8788.66,8819.77,14073
2026-07-13T12:00:00+00:00,8819.77,8826.78,8753.29,8760.3,17782
2026-07-14T00:00:00+00:00,8760.3,8879.91,8759.81,8870.91,20437
2026-07-14T12:00:00+00:00,8870.91,8875.09,8825.07,8833.07,9193
2026-07-15T00:00:00+00:00,8833.07,8855.69,8798.97,8847.69,11572
2026-07-15T12:00:00+00:00,8847.69,8855.86,8804.37,8814.88,10247
2026-07-16T00:00:00+00:00,8814.88,8841.86,8765.96,8813.48,14495
2026-07-16T12:00:00+00:00,8813.48,8834.48,8750.89,8775.89,12351
2026-07-17T00:00:00+00:00,8775.89,8825.51,8752.89,8816.5,15930
2026-07-17T12:00:00+00:00,8816.5,8844.51,8806.49,8836.51,7308
2026-07-19T12:00:00+00:00,8836.51,8839.66,8792.17,8814.17,6970
2026-07-20T00:00:00+00:00,8814.17,8834.77,8764.26,8781.27,15451
2026-07-20T12:00:00+00:00,8781.27,8799.06,8730.55,8798.06,12109
2026-07-21T00:00:00+00:00,8798.06,8803.56,8722.67,8772.17,11877
2026-07-21T12:00:00+00:00,8772.17,8841.13,8770.15,8825.63,6389
2026-07-22T00:00:00+00:00,8825.63,8902.73,8794.72,8877.71,12742
2026-07-22T12:00:00+00:00,8877.71,8923.52,8864.21,8874.53,9912
2026-07-23T00:00:00+00:00,8874.53,8878.02,8752.63,8778.12,20717
2026-07-23T12:00:00+00:00,8778.12,8811.81,8730.8,8749.8,14553
2026-07-24T00:00:00+00:00,8749.8,8813.39,8743.79,8796.39,14376
2026-07-24T12:00:00+00:00,8796.39,8834.9,8795.89,8804.9,8712
2026-07-26T12:00:00+00:00,8804.9,8873.38,8804.9,8861.37,5289
2026-07-27T00:00:00+00:00,8861.37,8894.98,8830.96,8854.47,12129
2026-07-27T12:00:00+00:00,8854.47,8939.79,8831.96,8939.27,14166
2026-07-28T00:00:00+00:00,8939.27,9007.39,8927.27,8999.38,15402
2026-07-28T12:00:00+00:00,8999.38,9088.81,8999.37,9049.3,16406
2026-07-29T00:00:00+00:00,9049.3,9073.9,9008.89,9023.41,18705
2026-07-29T12:00:00+00:00,9023.41,9083.4,8949.55,8966.56,28134
2026-07-30T00:00:00+00:00,8966.56,9042.15,8943.55,9026.65,16720
2026-07-30T12:00:00+00:00,9026.65,9070.67,8975.56,8975.56,11451
2026-07-31T00:00:00+00:00,8975.56,9012.16,8884.66,8925.16,15495
2026-07-31T12:00:00+00:00,8925.16,8940.15,8906.17,8919.67,6574
2026-08-02T12:00:00+00:00,8919.67,8977.11,8919.67,8967.59,4821
2026-08-03T00:00:00+00:00,8967.59,9023.21,8963.59,9007.2,9071
2026-08-03T12:00:00+00:00,9007.2,9139.61,9002.69,9135.11,7791
2026-08-04T00:00:00+00:00,9135.11,9149.21,9097.19,9123.2,9475
2026-08-04T12:00:00+00:00,9123.2,9214.85,9116.19,9207.84,11242
2026-08-05T00:00:00+00:00,9207.84,9230.85,9163.43,9206.43,10527
2026-08-05T12:00:00+00:00,9206.43,9292.42,9190.44,9268.92,10947
2026-08-06T00:00:00+00:00,9268.92,9287.03,9244.01,9274.02,8271
2026-08-06T12:00:00+00:00,9274.02,9275.01,9207.79,9253.29,9064
2026-08-07T00:00:00+00:00,9253.29,9315.38,9249.38,9299.89,7709
2026-08-07T12:00:00+00:00,9299.89,9302.9,9276.38,9288.89,2925
2026-08-09T12:00:00+00:00,9288.89,9288.89,9201.49,9229.47,5535
2026-08-10T00:00:00+00:00,9229.47,9258.59,9211.07,9220.09,6233
2026-08-10T12:00:00+00:00,9220.09,9268.18,9210.28,9261.18,6631
2026-08-11T00:00:00+00:00,9261.18,9288.7,9225.28,9234.29,10621
2026-08-11T12:00:00+00:00,9234.29,9237.29,9183.92,9184.42,8320
2026-08-12T00:00:00+00:00,9184.42,9222.03,9171.84,9179.52,9605
2026-08-12T12:00:00+00:00,9179.52,9202.33,9138.31,9166.83,7327
